Row,.0,.1,.2,.3,.4,.5,.6,.7,.8,.9
1,0,0.0413926851582251,0.0791812460476248,0.113943352306837,0.146128035678238,0.176091259055681,0.204119982655925,0.230448921378274,0.255272505103306,0.278753600952829
2,0.301029995663981,0.322219294733919,0.342422680822206,0.361727836017593,0.380211241711606,0.397940008672038,0.414973347970818,0.431363764158987,0.447158031342219,0.462397997898956
3,0.477121254719662,0.491361693834273,0.505149978319906,0.518513939877887,0.531478917042255,0.544068044350276,0.556302500767287,0.568201724066995,0.57978359661681,0.591064607026499
4,0.602059991327962,0.612783856719735,0.6232492903979,0.633468455579587,0.643452676486187,0.653212513775344,0.662757831681574,0.672097857935718,0.681241237375587,0.690196080028514
5,0.698970004336019,0.707570176097936,0.716003343634799,0.724275869600789,0.732393759822969,0.740362689494244,0.7481880270062,0.755874855672491,0.763427993562937,0.770852011642144
6,0.778151250383644,0.785329835010767,0.792391689498254,0.799340549453582,0.806179973983887,0.812913356642856,0.819543935541869,0.826074802700826,0.832508912706236,0.838849090737255
7,0.845098040014257,0.851258348719075,0.857332496431269,0.863322860120456,0.869231719730976,0.8750612633917,0.880813592280791,0.886490725172482,0.89209460269048,0.897627091290441
8,0.903089986991944,0.90848501887865,0.913813852383717,0.919078092376074,0.924279286061882,0.929418925714293,0.934498451243568,0.939519252618618,0.944482672150169,0.949390006644913
9,0.954242509439325,0.959041392321094,0.963787827345555,0.968482948553935,0.973127853599699,0.977723605288848,0.982271233039568,0.986771734266245,0.991226075692495,0.99563519459755
10,1,1.00432137378264,1.00860017176192,1.01283722470517,1.01703333929878,1.02118929906994,1.02530586526477,1.02938377768521,1.03342375548695,1.03742649794062
